id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
162016,"",CC-BY-NC-ND,https://static.inaturalist.org/photos/218690/medium.JPG,-22.8962599913,-68.2000350952,El Loa,Antofagasta,Azorella compacta,Llareta
281749,Carmelo López Abad,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/348797/medium.JPG,-18.243577,-69.33815,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
1558723,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1929648/medium.JPG,-18.3,-69.16667,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
2670451,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3000716/medium.JPG,-20.624713,-66.998801,Nor Lípez,Potosí,Azorella compacta,Llareta
2693742,David Renoult,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3031464/medium.jpg,-18.220873,-69.24365,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
7909010,Stefan,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/10435709/medium.jpg,-18.9190366667,-69.0816945,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
7909080,Stefan,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/10435812/medium.jpg,-21.5697661251,-67.7169931063,Nor Lípez,Potosí,Azorella compacta,Llareta
8082942,Diego Almendras G.,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/10717462/medium.jpeg,-22.3392646283,-68.019214799,El Loa,Antofagasta,Azorella compacta,Llareta
8723992,Andrea Peterlongo,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/11702655/medium.jpg,-18.166405,-69.434517,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
12710989,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/18405714/medium.jpg,-15.58757,-72.73636,Condesuyos,Arequipa,Azorella compacta,Llareta
12710994,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/18405724/medium.jpg,-15.58757,-72.73636,Condesuyos,Arequipa,Azorella compacta,Llareta
12711018,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/18405747/medium.jpg,-15.58757,-72.73636,Condesuyos,Arequipa,Azorella compacta,Llareta
13300478,Ruth Ripley,CC-BY-NC,https://static.inaturalist.org/photos/19476822/medium.jpeg,-11.1083416667,-76.1169716667,Junín,Junín,Azorella compacta,Llareta
15319486,Miguel Vieira,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/22938795/medium.jpg,-21.358714,-68.026142,Nor Lípez,Potosí,Azorella compacta,Llareta
15842315,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/23686052/medium.jpg,-21.35852,-68.0278945,Nor Lípez,Potosí,Azorella compacta,Llareta
17263800,Chimú,CC-BY-NC,https://static.inaturalist.org/photos/26187314/medium.jpeg,-18.1104793415,-68.9182342037,Sajama,Oruro,Azorella compacta,Llareta
17832132,Chimú,CC-BY-NC,https://static.inaturalist.org/photos/27217417/medium.jpeg,-18.1113018568,-68.9170969471,Sajama,Oruro,Azorella compacta,Llareta
19293514,Alexander Görlt,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/29655487/medium.jpeg,-18.1599705227,-69.4381821156,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
20044570,Jan Nicholas,,https://static.inaturalist.org/photos/30946774/medium.jpg,-21.3585583333,-68.0278638333,Nor Lípez,Potosí,Azorella compacta,Llareta
20148312,Tony Rebelo,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31077401/medium.jpg,-14.48201,-70.98919,Canas,Cusco,Azorella compacta,Llareta
20469993,Jennifer Heron,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/31598484/medium.jpg,-21.9258416667,-68.0053472167,Nor Lípez,Potosí,Azorella compacta,Llareta
21724931,Ben Schweinhart,CC-BY-NC,https://static.inaturalist.org/photos/33642497/medium.jpg,-18.1833,-69.4167,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
22134260,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/34267311/medium.jpg,-19.3362236509,-66.9150014688,Eduardo Avaroa,Oruro,Azorella compacta,Llareta
22989495,Krystal Bedregal,CC-BY-NC,https://static.inaturalist.org/photos/35639775/medium.jpg,-18.0701471667,-69.0724195,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
23840949,Lukas Mohr,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/36891922/medium.jpeg,-16.1776912084,-71.5324008465,Arequipa,Arequipa,Azorella compacta,Llareta
24280467,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/37544012/medium.jpeg,-21.6245544356,-68.0628225034,Nor Lípez,Potosí,Azorella compacta,Llareta
26577773,Elvia Góez,,https://static.inaturalist.org/photos/41278895/medium.jpg,-21.7504210666,-67.5961923834,Nor Lípez,Potosí,Azorella compacta,Llareta
27419251,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/42661325/medium.jpg,-22.5326733333,-68.0447666667,El Loa,Antofagasta,Azorella compacta,Llareta
28577635,Susanne Sivila,,https://static.inaturalist.org/photos/44557956/medium.jpeg,-21.3585326029,-68.027903745,Nor Lípez,Potosí,Azorella compacta,Llareta
29370857,Cobi Calyx,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/45836380/medium.jpeg,-18.1642360386,-69.1453364119,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
31302651,Eduardo,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/48980019/medium.jpg,-19.6056241535,-69.0437496764,Iquique,Tarapacá,Azorella compacta,Llareta
31302780,Eduardo,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/48980208/medium.jpg,-19.6094984164,-69.0205226633,Iquique,Tarapacá,Azorella compacta,Llareta
32097533,Tom,,https://static.inaturalist.org/photos/50310127/medium.jpeg,-21.3406627663,-66.4180686325,Nor Lípez,Potosí,Azorella compacta,Llareta
32515695,Sandy Rae,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/51007131/medium.jpg,-18.170561,-69.429965,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
34212239,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/53815772/medium.jpg,-21.2581659416,-68.1317417782,Nor Lípez,Potosí,Azorella compacta,Llareta
34787227,Wilder R. Quispe Rojas,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/54791395/medium.jpeg,-12.590672884,-75.042892245,Huancavelica,Huancavelica,Azorella compacta,Llareta
34942052,Pedro A. Palma Calorio,,https://static.inaturalist.org/photos/55058081/medium.jpg,-21.725725,-67.52623,Nor Lípez,Potosí,Azorella compacta,Llareta
35087106,Sophie Walters,,https://static.inaturalist.org/photos/55305558/medium.jpeg,-22.6215671,-67.6679757,Sud Lípez,Potosí,Azorella compacta,Llareta
35290379,Wilder R. Quispe Rojas,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/55632708/medium.jpeg,-12.5933586383,-75.0495875416,Huancavelica,Huancavelica,Azorella compacta,Llareta
35389170,Michael Weymann,CC-BY-NC,https://static.inaturalist.org/photos/55799257/medium.jpg,-21.0169774135,-68.8227147546,Iquique,Tarapacá,Azorella compacta,Llareta
35420649,Luca Boscain,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/55851086/medium.jpg,-18.2246616667,-69.3104316667,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
35422240,Luca Boscain,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/55853860/medium.jpg,-18.2446916667,-69.180655,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
36069063,Luca Boscain,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/56968555/medium.jpg,-21.3587483333,-68.0272666667,Nor Lípez,Potosí,Azorella compacta,Llareta
36163862,Aira Francisca Faúndez Fallau,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57133130/medium.jpeg,-21.0923583805,-68.6427213246,Iquique,Tarapacá,Azorella compacta,Llareta
36288793,Joey Santore,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/57346550/medium.jpeg,-18.1956710815,-69.4414672852,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
36367292,Matt Berger,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57479998/medium.jpg,-18.19629667,-69.44118667,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
36367437,Matt Berger,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57480153/medium.jpg,-18.221395,-69.21293667,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
36367550,Matt Berger,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57480223/medium.jpg,-18.216695,-69.30185833,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
36368536,Matt Berger,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57482167/medium.jpg,-19.38568667,-68.94142167,Iquique,Tarapacá,Azorella compacta,Llareta
36368959,Matt Berger,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/57482640/medium.jpg,-19.24705,-69.09877783,Iquique,Tarapacá,Azorella compacta,Llareta
36840955,Vitaly Alyonkin,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/58303141/medium.jpg,-18.9100166667,-69.0843666667,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
37064910,Andres Klein,CC-BY-NC,https://static.inaturalist.org/photos/58696910/medium.jpeg,-18.8953949259,-69.0775883917,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
37202315,Francisco Cornell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/58937601/medium.jpg,-22.5978365899,-66.0947281146,Rinconada,Jujuy,Azorella compacta,Llareta
37356647,Doug Taron,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/59206061/medium.jpg,-18.1704317057,-69.4301147711,Parinacota,Arica y Parinacota,Azorella compacta,Llareta
37690071,Michael Weymann,CC-BY-NC,https://static.inaturalist.org/photos/59802094/medium.jpg,-20.9221385168,-68.660904284,Iquique,Tarapacá,Azorella compacta,Llareta
